state,district,company_name,contact_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Ahmedabad,SOLARIUM GREEN ENERGY LIMITED,Solarium,np@solariumenergy.in,9687133338,21183,5621
GUJARAT,Ahmedabad,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,EXECUTIVE,systems@australianpremiumsolar.co.in,7966006600,16567,4656
GUJARAT,Ahmedabad,SOLAR ACE,Solar Ace,project.solarace@gmail.com,9909037803,16311,4355
GUJARAT,Ahmedabad,BHANU ENTERPRISES,ANAND KOTHARI,akkothari1964@gmail.com,9263635946,13610,4090
GUJARAT,Ahmedabad,EFARM INTERNATIONAL PRIVATE LIMITED,efarmenergy,info@efarmenergy.com,9723610012,13421,3957
GUJARAT,Ahmedabad,AVIRAT ENERGY PVT LTD,KEYUR SAVALIYA,aviratenergy@gmail.com,9697443344,13421,3911
GUJARAT,Ahmedabad,BHANU PV SOLAR PVT LTD,VIMAL VINODBHAI RAIYANI,bhanupvsolarpvtltd@gmail.com,9510398989,13138,3770
GUJARAT,Ahmedabad,KSQUARE ENERGY PVT LTD,Mr. Vishal Punia,projects@ksquareenergy.com,9725218150,13876,3712
GUJARAT,Ahmedabad,GREENERA ENERTECH PVT LTD,SAGAR BHAYANI,greenera.solarenergy@gmail.com,9427726620,12599,3687
GUJARAT,Ahmedabad,POWERSHINE ENERGY,VISHBU BHALODI,powershineenergy1993@gmail.com,9723096888,10629,3099
GUJARAT,Ahmedabad,HEAVEN GREEN ENERGY LTD. (FORMERLY KNOWN AS HEAVEN SOLAR ENERGY PVT LTD),dipak khagad,heavensolarenergy@gmail.com,9979532167,10683,2896
GUJARAT,Ahmedabad,SANELITE SOLAR PVT LTD,SANELITE SOLAR PVT LTD,bhavesh.modi@sanelitesolar.com,9374021722,9579,2669
GUJARAT,Ahmedabad,MADHAV SOLAR ENERGY LIMITED (FORMERLY KNOWN AS MADHAV ENTERPRISE - SURAT),KRUTIKA AMIPARA,info@madhavsolarenergy.com,8849299212,8888,2614
GUJARAT,Ahmedabad,D-LIGHT SOLAR ENERGY LLP,PRATIK DHAMELIYA,epc@dlightsolarenergy.in,9898511535,7082,2609
GUJARAT,Ahmedabad,SATYAM SALES,SATYAM BOGHARA,kishanagroagencyamreli@gmail.com,9825360183,8693,2560
GUJARAT,Ahmedabad,INFRAX INTERNATIONAL,BHARGV VACHHANI,info@infraxsolar.com,7778002780,8438,2478
GUJARAT,Ahmedabad,ARIS SOLAR,RAHUL PATEL,arissolartech@gmail.com,9662336115,9288,2478
GUJARAT,Ahmedabad,GREEN ENERGY - RAJKOT,BHAVESH BHIMANI,greenenergy123@gmail.com,9428010202,8497,2431
GUJARAT,Ahmedabad,SHREEJI MARKETING - TALOD,RASHMIKANT TRIVEDI,rajuksales@gmail.com,9974612008,8392,2243
GUJARAT,Ahmedabad,CAPTAIN POLYPLAST LIMITED,CAPTAIN POLYPLAST LIMITED,solar@captainpolyplast.in,9313925889,7631,2237
GUJARAT,Ahmedabad,EARTHWAVE TECHNOLOGY PRIVATE LIMITED,EARTHWAVETECHNOLOGY@GMAIL.COM,EARTHWAVETECHNOLOGY@GMAIL.COM,9426373334,7616,2200
GUJARAT,Ahmedabad,SURYASE ENERGY,MADHAV PATEL,suryaseenergy@gmail.com,9662047390,8002,2148
GUJARAT,Ahmedabad,WATERSUN ELECTRICAL SOLUTIONS PVT LTD,SANDIPKUMAR J TRIVEDI,watersunelectrical@gmail.com,7016589864,7317,2115
GUJARAT,Ahmedabad,JANTA RENEWABLE ENRGY,PRASHANT CHUDASAMA,jantarenewableenergy@gmail.com,9898897373,7336,2112
GUJARAT,Ahmedabad,ANK SOLAR ENERGY,HIT A KHANDOR,anksolarenergy@gmail.com,9724816510,7926,2105
GUJARAT,Ahmedabad,MAHISAGAR SOLAR ENERGY,NAITIK PANCHAL,mahisagarsolarenergy23@gmail.com,8200154972,7753,2099
GUJARAT,Ahmedabad,SOLAR SMART PVT LTD,SOLAR SMART NP,solarsmart2021@gmail.com,7284000580,7267,2029
GUJARAT,Ahmedabad,INFINITY SOLAR - RAJKOT,chintan padaliya,infinitysolar2022@gmail.com,7201070799,6715,1932
GUJARAT,Ahmedabad,MARUTI SUNSOLREN,DOBARIYA MILANKUMAR VRAJLALA,marutisunsolren@gmail.com,8238145153,6075,1923
GUJARAT,Ahmedabad,EFFORTS SOLAR PRIVATE LIMITED (FORMERLY KNOWN AS EFFORTS ENTERPRISES),ADESH VANPARIYA,admin@effortsgroup.in,9067817117,6721,1861
GUJARAT,Ahmedabad,ADINSON ENERGY LLP,SAGAR PANELIYA,adinsonenergy2022@gmail.com,9724272728,6465,1850
GUJARAT,Ahmedabad,HARSH COMMUNICATION,CHINTAN PATHAK,harshcomm.solar@gmail.com,9137373727,6409,1840
GUJARAT,Ahmedabad,RK SUN POWER LLP,MR PARTH MADAAN,rksunpowertrading@gmail.com,9913785000,6789,1833
GUJARAT,Ahmedabad,GLOBAL SOLAR ENERGY,SAGAR VAKOTAR,globalsolar99@gmail.com,8866190358,6284,1809
GUJARAT,Ahmedabad,INFRAX RENEWABLE LIMITED,Bhavik Gandhi,pmsg@infraxrenewable.com,9033260985,6152,1760
GUJARAT,Ahmedabad,FERUS ENERGIES CO,PARESHBHAI V BORAD,info@ferusenergies.com,9913341342,6051,1743
GUJARAT,Ahmedabad,PETLAD SOJITRA TALUKA SAURAURJA UTPADAK SAHKARI MANDALI LIMITED,TRUSHAR PATEL,pssumandali@gmail.com,8140968999,6681,1740
GUJARAT,Ahmedabad,NEOCENT SOLAR SYSTEM LLP,MAYANK PATEL,m.neocent@gmail.com,9974710486,5748,1715
GUJARAT,Ahmedabad,BELIANCE ENERGY INDIA PVT.LTD.,BHARGAV KURJIBHAI PATOLIYA,belianceenergy@gmail.com,8511651364,5915,1703
GUJARAT,Ahmedabad,SHAYONAAM ENTERPRISE,PARTH MOLIYA,shayonaam12@gmail.com,9638766943,5929,1697
GUJARAT,Ahmedabad,HELIOSNATURAL RENEWTECH PRIVATE LIMITED,VISHAL KADIA,marketing@heliosnatural.com,7600052305,6001,1681
GUJARAT,Ahmedabad,GREEN WATT ENERGY,BHAUTIK KARKAR,info@greenwattenergy.co.in,9913853055,5279,1637
GUJARAT,Ahmedabad,CORWIND RENERGY LLP,VISHAL PRAJAPATI,corwind.renergy@gmail.com,9428490118,6258,1603
GUJARAT,Ahmedabad,RAJKOT E-BIKES AND SOLAR,VIPUL R FALDU,rajkotebikesandsolar@gmail.com,8306020890,5475,1573
GUJARAT,Ahmedabad,SURYANCE SOLAR,suryancesolar@gmail.com,suryancesolar@gmail.com,9664504655,5515,1534
GUJARAT,Ahmedabad,SUNCELL SOLAR LLP,Harsh,suncellsolarenergy@gmail.com,9512668884,5586,1511
GUJARAT,Ahmedabad,FRELIT ENERGY PRIVATE LIMITED,ANKUR KARKAR,frelitenergy@gmail.com,9512700130,5737,1500
GUJARAT,Ahmedabad,SKYVIEW POWER,DHAVAL PAMBHAR,skyviewpower17@gmail.com,8140055305,5143,1497
GUJARAT,Ahmedabad,SURYA SOLAR AND WATERS,NUMBER(S),rooftop@suryasolarwaters.com,9033266039,6069,1486
GUJARAT,Ahmedabad,HITECH SOLAR,JAYESH BALDHA,jayesh@hitechsolar.in,7600059073,5541,1481
GUJARAT,Ahmedabad,VEDANTA SOLAR,HARSH PATEL,info.vedantasolar@gmail.com,8140233119,5495,1462
GUJARAT,Ahmedabad,GLOBAL ENTERPRISE,BHAGIRATH DHANDHALIYA,globalsolarent@gmail.com,9924900304,5110,1432
GUJARAT,Ahmedabad,ANANYA SOLAR TECHNOLOGIES,KETUL PANDAV,sales.ananyasolar@gmail.com,7573850419,4636,1422
GUJARAT,Ahmedabad,INOX SOLAR ENERGY,RAVI KAPADIYA,inoxsolarenergy@gmail.com,9904604047,5054,1419
GUJARAT,Ahmedabad,AMAR JYOT SPRAY PUMP,RITESH PATEL,ajagriandsolar@gmail.com,9722227299,5198,1416
GUJARAT,Ahmedabad,SHREE SOLAR POWER,NILESH SORATHIYA,nileshsorthiya2@gmail.com,9727620417,5531,1365
GUJARAT,Ahmedabad,PRAVEG SOLAR,Vishwa Raval,office.praveg@gmail.com,9081714161,4880,1362
GUJARAT,Ahmedabad,SKY BLUE SOLAR,PRUTHVI GALANI,skybluesolar56@gmail.com,9824965349,3612,1337
GUJARAT,Ahmedabad,BHASKAR SOLAR ENTERPRISE,BHAVIK VANZARA,info.bhaskarsolar@gmail.com,8980451231,4749,1323
GUJARAT,Ahmedabad,JJ PV SOLAR PRIVATE LIMITED,RAJESH P JOSHI,rajesh@jjpvsolar.com,9904809006,4413,1310
GUJARAT,Ahmedabad,LOBEL SOLAR POWER SYSTEM,FENIL BHAVSAR,info@lobelpower.com,9327007854,4514,1282
GUJARAT,Ahmedabad,YUVAAN ENERGY PRIVATE LIMITED,JAY BHATT,sales@yuvaanenergy.com,9825045890,5081,1268
GUJARAT,Ahmedabad,ENJOY TECHNOLOGY,JAYESH DHAMELIYA,care.enjoytechnology@gmail.com,9727718887,4622,1267
GUJARAT,Ahmedabad,PERFECT RENEWTECH PRIVATE LIMITED,info@perfectrenewtech.com,info@perfectrenewtech.com,9965200700,4690,1254
GUJARAT,Ahmedabad,SKY POWER,SHAILESH PRAJAPATI,skypowersvp@gmail.com,9723070267,4291,1249
GUJARAT,Ahmedabad,ARKAY ICONIC PRIVATE LIMITED,MAULIK KACHHADIYA,arkaysolar@gmail.com,8401236600,4162,1248
GUJARAT,Ahmedabad,ALFA SOLAR ENERGY,ASHVIN PANSARA,alfasolarenergy2020@gmail.com,9825374250,4146,1220
GUJARAT,Ahmedabad,JAIMAX SUNBIM PVT LTD,SANATAN PATEL,jaimaxsunbim@gmail.com,8980024055,4237,1214
GUJARAT,Ahmedabad,SHREE UMIYA CORPORATION,CHIRAG PATEL,shreeumiyacorp@gmail.com,8866731185,4197,1203
GUJARAT,Ahmedabad,AMPERE GREEN ENERGY,MIT KAVATHIYA,amperegreenenergy@gmail.com,9033116472,4443,1203
GUJARAT,Ahmedabad,BELIEVER RENEWAL ENERGY,DHRUVIL LATHIYA,bre.solar20@gmail.com,7434972242,4357,1191
GUJARAT,Ahmedabad,SURYA URJA SYSTEMS,manish prajapati,suryaurjasystems@gmail.com,9824276142,4547,1174
GUJARAT,Ahmedabad,AAI SHREE KHODIYAR FEBRICATION,JAYESH PATOLIYA,ASKF2024@GMAIL.COM,9725001682,4116,1168
GUJARAT,Ahmedabad,UNIQUE ELECTRICAL,MAYUR VASTARPARA,sales.epc2016@gmail.com,9099000148,4310,1165
GUJARAT,Ahmedabad,SUNFREE ENERGY,ALOK PATEL,sunfreeenergy2017@gmail.com,7600002358,4802,1165
GUJARAT,Ahmedabad,SUNSNATCH SOLUTIONS LLP,NUMBER(S),monark.sunsnatch@gmail.com,7698536878,4985,1138
GUJARAT,Ahmedabad,PRAGATI INDUSTRIES,NUMBER(S),pragatipv8@gmail.com,9428799552,5065,1131
GUJARAT,Ahmedabad,WHITESUN GREEN ENERGY PRIVATE LIMITED,RAKESH BHUDIA,rakesh.bhudia14@hotmail.com,8511740671,3824,1130
GUJARAT,Ahmedabad,PRINCE ELECTRICAL,HARSH PATEL,princeelectrical20@gmail.com,8866507173,4047,1129
GUJARAT,Ahmedabad,AARISH POWER,HARSH PATEL,harshpatel5268@gmail.com,7600621060,3949,1121
GUJARAT,Ahmedabad,LGM ENERGY AND INFRACON LLP,ASHISH MOVALIYA,lgmenergyandinfraconllp@gmail.com,7574000906,3927,1120
GUJARAT,Ahmedabad,JANSA SOLAR SOLUTIONS PVT LTD,NIMIT GUPTA,jansa@kalptaru.co.in,9998000769,4291,1110
GUJARAT,Ahmedabad,SYNCHRO ENERGY,ZULASANA MANJULABEN NILESHBHAI,synchroenergy389@gmail.com,9974737316,3824,1108
GUJARAT,Ahmedabad,MANGROLIYA NIKUNJ J.,MANGROLIYA NIKUNJ J.,nikunjmangroliya54@gmail.com,8866685082,3612,1099
GUJARAT,Ahmedabad,SCION POWER,SHUBHAM SAVALIYA,scionpower@yahoo.com,7043511106,3650,1095
GUJARAT,Ahmedabad,H AND S ENGINEERING,HARSH PATEL,HSENGINEERING9698@GMAIL.COM,8980818699,3733,1092
GUJARAT,Ahmedabad,ZODIAC ENERGY LIMITED,KARTIK PATEL,info@zodiacenergy.com,7861852582,4476,1088
GUJARAT,Ahmedabad,AILIS ENERGY PRIVATE LIMITED,MEHUL PRAJAPATI,suryagujarat@ailisenergy.com,8401541048,4328,1086
GUJARAT,Ahmedabad,SHREEJI ENTERPRISE-SURAT,NITULKUMAR B MORADIYA,epc.solar@shreejiconstruction.com,9825108890,3885,1085
GUJARAT,Ahmedabad,AHAD SOLARTECH,SHABBIRALI ABBASALI SUTHAR,ahad.solartech@gmail.com,9724259440,3765,1076
GUJARAT,Ahmedabad,APS ROOFTOP SOLAR PRIVATE LIMITED,EXECUTIVE,info@apsrooftopsolar.co.in,7966009900,3926,1072
GUJARAT,Ahmedabad,ASV ENERGY SOLUTIONS,Vikas Singhal,vikas30.asv@gmail.com,7879064335,3867,1067
GUJARAT,Ahmedabad,RAICHURA ENERGY,MIHIR RAICHURA,raichuraenergy@gmail.com,9879152830,3704,1062
GUJARAT,Ahmedabad,POWER TECH ENERGY SOLUTUIONS,DWIP PARIKH,epc@ptes.in,6357502081,3681,1054
GUJARAT,Ahmedabad,RADIANT GREENS SOLAR,NIKUNJ SAGAR POTRA,info@radiantgreens.in,8140316334,4072,1050
GUJARAT,Ahmedabad,ICON ENERGY,HARSH PATEL,info@iconenergy.in,9909999162,3670,1050
GUJARAT,Ahmedabad,GLOBAL SOLAR SOLUTION,MOKSHAK BODA,moxakboda111@gmail.com,8460820618,3411,1050
GUJARAT,Ahmedabad,VARDHAN SALES,VARDHAN,vardhansolar91@gmail.com,9512020935,3632,1046
GUJARAT,Ahmedabad,RADIANT SOLAR SOLUTIONS,PARESH@RADIANTSOLARSOLUTION.COM,paresh@radiantsolarsolution.com,9979632096,3542,1016
GUJARAT,Ahmedabad,SHIVAY SOLAR ENERGY PRIVATE LIMITED,SANJAY PRAJAPATI,sanjay1482@gmail.com,7490013700,3730,1013
GUJARAT,Ahmedabad,LIGHTRIC POWER SOLUTION,BHAUMIK PATEL,lightricpower@gmail.com,6355768984,3597,1005
GUJARAT,Ahmedabad,PATWA MARKETING,NIGAM SHAH,nigam82002@yahoo.co.in,9825622939,3825,996
GUJARAT,Ahmedabad,DELICATE SOLAR PRIVATE LIMITED,JEMISH J GABANI,gabanijemish3@gmail.com,8238340836,3653,974
GUJARAT,Ahmedabad,ZAVICH INFRASTRUCTURE AND POWER PVT LTD,ROHAN PATEL,zavichinfra@gmail.com,9106129608,3719,950
GUJARAT,Ahmedabad,ULTRASUN ENERGY,DEEP JAYANTIBHAI PATEL,info@ultrasunenergy.com,9909911071,3187,949
GUJARAT,Ahmedabad,SOLSKIN ENERGY LLP,ASHUTOSH MAKATI,solskinenergy@gmail.com,8128988878,3314,949
GUJARAT,Ahmedabad,TRIZONE POWER,GOSAI SANJAYGIRI,trizonepower05@gmail.com,9638052084,3619,948
GUJARAT,Ahmedabad,GRACE RENEWABLE ENERGY PVT LTD,MANISH BAGDIA,project1@gracerenew.com,7573027788,3988,946
GUJARAT,Ahmedabad,SUNBOOST PRIVATE LTD,PIYUSH KUMAR NATVARLAL PATEL,info@sunboostenergy.com,9104227788,3602,944
GUJARAT,Ahmedabad,SOLARSQUARE ENERGY PRIVATE LIMITED,SolarSquare,nationalportal@solarsquare.in,9830003000,3934,943
GUJARAT,Ahmedabad,KRISHIV ENTERPRISE,PANSURIYA JAIVIN SAMJUBHAI,jevinpansuriya4@gmail.com,7359294060,3130,940
GUJARAT,Ahmedabad,RADHE ELECTRICAL,Sanjay Patel,radheelectrical24@gmail.com,9601294783,3294,936
GUJARAT,Ahmedabad,RADIANT GREEN SOLUTIONS,MANTHAN DAVDA,davda.manthan@yahoo.in,9978911803,3388,935
GUJARAT,Ahmedabad,ONIX RENEWABLE LIMITED,NAMAN VIRADIYA,naman.viradiya@onixrenewable.in,9586043661,2988,935
