state,district,company_name,contact_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Amreli,24R ENERGY,ABHINAV GAHARWAR SINGH,abhinav.24renergy@gmail.com,9898881359,0,0
GUJARAT,Amreli,4SUN POWER,PRAVIN GOSWAMI,4sunpower.ahd@gmail.com,8000859548,0,0
GUJARAT,Amreli,4THVED AGROTECH,NUMBER(S),4thvedagro@gmail.com,9377126082,0,0
GUJARAT,Amreli,7 STAR SOLAR ENERGY,IKBAL BADI,7STAR51751@GMAIL.COM,9624899019,0,0
GUJARAT,Amreli,A D ENERGY SOLUTIONS,DHARMIKKUMAR KAUSHIKBHAI PATHAK,adenergysolutions64@gmail.com,9924503387,0,0
GUJARAT,Amreli,A J INFRATECH AND SOLAR,aj_infratechsolar,aryanpatelvisnagar@gmail.com,9429083193,0,0
GUJARAT,Amreli,A S RENEWABLE ENERGY PRIVATE LIMITED,Ashok Yadav,info@asre.co.in,9067207226,0,0
GUJARAT,Amreli,A S SOLAR ENTERPRISE,VHORA MUSTKIMBHAI ILIYASBHAI,assolarenterprise@gmail.com,9510572504,0,0
GUJARAT,Amreli,AA SOLAR,AA SOLAR,enquiry.aasolar@gmail.com,7984392322,0,0
GUJARAT,Amreli,AADITYA SOLAR,GAUTAMBHAI R PATEL,adityasolarnarmada@gmail.com,9265740687,0,0
GUJARAT,Amreli,AAJIVAN SOLAR POWER,MAYANK SAKARIYA,aajivansolarpower@gmail.com,9106798337,0,0
GUJARAT,Amreli,AANGI SOLAR,ATULKUMAR PARSHOTTAMBHAI KHUNT,aangisolar@gmail.com,8000848307,0,0
GUJARAT,Amreli,AANJNEY ENTERPRISE,AKASH PATEL,aanjneysolar@gmail.com,6353161531,0,0
GUJARAT,Amreli,AARAMBH RENEWABLE,KULDEEP HARESHBHAI PANCHAL,aarambhrenewable@gamil.com,8487861888,0,0
GUJARAT,Amreli,AARISH POWER,NUMBER(S),harshpatel5268@gmail.com,7600621060,0,0
GUJARAT,Amreli,AAROHI SOLAR ENERGY,NUMBER(S),pram8384@gmail.com,8347341291,0,0
GUJARAT,Amreli,AARSUN ENERGY SOLUTIONS,Mr. YUVRAJSINH UDAVAT,aarsunenergy@gmail.com,8200328869,0,0
GUJARAT,Amreli,AASHA SOLAR ENERGY,Amir Khanusiya,aashasolarenergy1@gmail.com,7016775306,0,0
