state,district,company_name,contact_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Dahod,POWER TECH ENERGY SOLUTUIONS,DWIP PARIKH,epc@ptes.in,6357502081,1057,264
GUJARAT,Dahod,SUNSAFE INFRA SERVICES,Ronak Jam,INFO@SUNSAFE.IN,9033673308,1017,252
GUJARAT,Dahod,SOLAR ACE,Solar Ace,project.solarace@gmail.com,9909037803,927,225
GUJARAT,Dahod,MAHISAGAR SOLAR ENERGY,NUMBER(S),mahisagarsolarenergy23@gmail.com,8200154972,843,213
GUJARAT,Dahod,SUN TECH ENERGY SOLUTION,Rutvij M Pandya,suntech.rutvij@gmail.com,8320301975,653,159
GUJARAT,Dahod,SUNSAFE INFRA PRIVATE LIMITED,RONAK RAJENDRAKUMAR JAIN,sunsafe.np@gmail.com,7227050091,502,136
GUJARAT,Dahod,SUN MICRA RENEWABLE ENERGY,MOHIT BHALANI,info@sunmicra.co.in,7990662677,238,61
GUJARAT,Dahod,HARI OM SOLAR ENERGY,VIRAL R PRAJAPATI,prajapativr697@gmail.com,9428490890,124,33
GUJARAT,Dahod,SOLARIUM GREEN ENERGY LIMITED,Solarium,np@solariumenergy.in,9687133338,83,24
GUJARAT,Dahod,SUNCELL SOLAR LLP,Harsh,suncellsolarenergy@gmail.com,9512668884,85,23
GUJARAT,Dahod,KSQUARE ENERGY PVT LTD,Mr. Vishal Punia,projects@ksquareenergy.com,9725218150,100,23
GUJARAT,Dahod,HI TECH SOLAR SOLUTION,ILYAS KAYDAWALA,hitechsolarsolu@gmail.com,8140535380,78,21
GUJARAT,Dahod,TOUCHCORE CONSULTANCY,MAYUR SOLANKI,touchcore27@gmail.com,9909284285,91,20
GUJARAT,Dahod,URJASTROT PRIVATE LIMITED,Urjastrot,urjastrotenterprise@gmail.com,7621010012,44,13
GUJARAT,Dahod,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,EXECUTIVE,systems@australianpremiumsolar.co.in,7966006600,49,13
GUJARAT,Dahod,GREEN POWER SOLUTION,HARDIK P DARJI,darjihardik777@gmail.com,8141216635,58,12
GUJARAT,Dahod,AC DC PROJECTS,MAULIK PANCHAL,acdcprojects1@gmail.com,8200193182,47,12
GUJARAT,Dahod,TATSAT NRGS,NISARG PATEL,tatsatnrgs@gmail.com,7984576567,37,10
GUJARAT,Dahod,NETWORKS TRADING AND CONSTRUCTION PVT LTD,ARVIND KUMAR,netccopvtltd@gmail.com,9319106152,34,10
GUJARAT,Dahod,FRELIT ENERGY PRIVATE LIMITED,ANKUR KARKAR,frelitenergy@gmail.com,9512700130,34,10
GUJARAT,Dahod,ARIS SOLAR,RAHUL PATEL,arissolartech@gmail.com,9662336115,43,10
GUJARAT,Dahod,VEDANTA SOLAR,HARSH PATEL,info.vedantasolar@gmail.com,8140233119,31,9
GUJARAT,Dahod,TECHNO POWER,Techno Power,technopower0001@gmail.com,8200360798,31,9
GUJARAT,Dahod,SOLAR SMART PVT LTD,SOLAR SMART NP,solarsmart2021@gmail.com,7284000580,35,9
GUJARAT,Dahod,HITECH SOLAR,JAYESH BALDHA,jayesh@hitechsolar.in,7600059073,50,9
GUJARAT,Dahod,EMISSIONS FREE WORLD PVT LTD,PANCHAL SIDDARTHKUMAR,emissionsfreeworld@gmail.com,8320097477,51,9
GUJARAT,Dahod,ANK SOLAR ENERGY,HIT A KHANDOR,anksolarenergy@gmail.com,9724816510,35,9
GUJARAT,Dahod,INFRAX RENEWABLE LIMITED,Bhavik Gandhi,pmsg@infraxrenewable.com,9033260985,26,8
GUJARAT,Dahod,GREEN ENERGY - RAJKOT,BHAVESH BHIMANI,greenenergy123@gmail.com,9428010202,25,7
GUJARAT,Dahod,APS ROOFTOP SOLAR PRIVATE LIMITED,EXECUTIVE,info@apsrooftopsolar.co.in,7966009900,24,7
GUJARAT,Dahod,JANTA RENEWABLE ENRGY,PRASHANT CHUDASAMA,jantarenewableenergy@gmail.com,9898897373,24,6
GUJARAT,Dahod,ELITO ENERGY PRIVATE LIMITED,MILAN BAROT,info@elitoenergy.com,7226024441,19,6
GUJARAT,Dahod,EARTHWAVE TECHNOLOGY PRIVATE LIMITED,EARTHWAVETECHNOLOGY@GMAIL.COM,EARTHWAVETECHNOLOGY@GMAIL.COM,9426373334,27,6
GUJARAT,Dahod,AMAR JYOT SPRAY PUMP,RITESH PATEL,ajagriandsolar@gmail.com,9722227299,24,6
GUJARAT,Dahod,OCEANIC POWER ENGINEERS PRIVATE LIMITED,SOYEB PATEL,oceanicpower.in@gmail.com,7778065600,20,5
GUJARAT,Dahod,MADHAV ENERGY SOLUTION,SUTHAR RAHULKUMAR M.,info.madhavenergy@gmail.com,9408354018,29,5
GUJARAT,Dahod,VOLTEX SOLUTION,Manan Ghia,info.voltexsolution@gmail.com,9104629229,15,4
GUJARAT,Dahod,S MEERA ELECTRICALS,GULAMNABI,s.meeraelectricals@gmail.com,9328249939,25,4
GUJARAT,Dahod,M AND P POWER SOLUTIONS,PRAKASH KUMAR,mnppowersolutions2021@gmail.com,9537006733,15,4
GUJARAT,Dahod,EFFORTS SOLAR PRIVATE LIMITED (FORMERLY KNOWN AS EFFORTS ENTERPRISES),ADESH VANPARIYA,admin@effortsgroup.in,9067817117,15,4
GUJARAT,Dahod,BHASKAR SOLAR ENTERPRISE,BHAVIK VANZARA,info.bhaskarsolar@gmail.com,8980451231,16,4
GUJARAT,Dahod,ARCHER RENEWABLE PRIVATE LIMITED,Chhayank D Patel,info@archersolar.in,8000041003,13,4
GUJARAT,Dahod,VRAJ BATTERIES AND POWER SOLUTION,RAMCHANDRA KAPADIA,ramkapadia68@gmail.com,9925084825,11,3
GUJARAT,Dahod,URJA ASSISTANCE,PALLAV GODHANI,gujarat@urjaassistance.com,9724806341,8,3
GUJARAT,Dahod,SKYVIEW POWER,DHAVAL PAMBHAR,skyviewpower17@gmail.com,8140055305,10,3
GUJARAT,Dahod,PRAYOSHA CORPORATION,MAHESH VIRANI,prayoshacorporation.india@gmail.com,9825390162,11,3
GUJARAT,Dahod,KT SOLAR ENERGY,Karan Yogesh Patil,KTSOLARENERGY14418@GMAIL.COM,9033092122,10,3
GUJARAT,Dahod,BHARTI SOLAR,NUMBER(S),bhartisolar1@gmail.com,8160804583,10,3
GUJARAT,Dahod,ASCENT ENERGY,BHAVIN KAKA,ascentenergys@gmail.com,8799447675,11,3
GUJARAT,Dahod,AHAD SOLARTECH,SHABBIRALI ABBASALI SUTHAR,ahad.solartech@gmail.com,9724259440,10,3
GUJARAT,Dahod,ZAVICH INFRASTRUCTURE AND POWER PVT LTD,ROHAN PATEL,zavichinfra@gmail.com,9106129608,6,2
GUJARAT,Dahod,VINARA SOLUTIONS,INDRAJIT SINH,vinarasolutions@gmail.com,8320754771,6,2
GUJARAT,Dahod,SURYA SOLAR AND WATERS,SURYA POWER,rooftop@suryasolarwaters.com,9033266039,6,2
GUJARAT,Dahod,SOM ENERGY SYSTEMS,RAKESH,info@somenergysystems.com,8401909576,8,2
GUJARAT,Dahod,SOLVEIG SOLAR PRIVATE LIMITED,RAJAN JHA,solveigsolar@gmail.com,9724362544,5,2
GUJARAT,Dahod,SHREEJI MARKETING - TALOD,RASHMIKANT TRIVEDI,rajuksales@gmail.com,9974612008,6,2
GUJARAT,Dahod,SHREEJI ENTERPRISE - MANJALPUR,ANKIT MEHTA,shreejienergy844@gmail.com,7041803421,6,2
GUJARAT,Dahod,SHREEJI ELECTRICAL - ISANPUR,Jeet Shah,shreejielec312@yahoo.com,9408197081,6,2
GUJARAT,Dahod,SHIVIK ENTERPRISE,VIKASKUMAR BASAVBHAI PATEL,shivikenterprise@gmail.com,9512839262,7,2
GUJARAT,Dahod,PDF ENGINEERS PRIVATE LIMITED,JAY VAGHELA,project2.pepl@gmail.com,8803910391,11,2
GUJARAT,Dahod,JALARK SOLAR SOLUTIONS OPC PVT LTD,CHINTAN MAHIDA,infojalark@gmail.com,9426661857,6,2
GUJARAT,Dahod,FORTUNE TECHNOLOGIST,KIRIT JOSHI,fortunetechnologist@gmail.com,9427597246,9,2
GUJARAT,Dahod,APN SOLAR ENERGY PVT LTD,APNSOLAR,nationalportal@apnsolar.com,9702034043,6,2
GUJARAT,Dahod,WISE GOAL SERVICES PRIVATE LIMITED,Tirth Acharya,hr.wisegoal@gmail.com,7567161902,3,1
GUJARAT,Dahod,U R ENERGY INDIA PVT LTD,Mr. ALPESH DESAI,india@urenergyglobal.com,9512040442,4,1
GUJARAT,Dahod,TECHSUN SOLAR,DIVYANG DESAI,matolindia@gmail.com,7043731102,5,1
GUJARAT,Dahod,SURYA URJA SYSTEMS,manish prajapati,suryaurjasystems@gmail.com,9824276142,3,1
GUJARAT,Dahod,SUNFREE ENERGY,ALOK PATEL,sunfreeenergy2017@gmail.com,7600002358,6,1
GUJARAT,Dahod,SUNFLARE SOLUTIONS AND SERVICES PVT LTD,APURVA GANDHI,info@sunflaresns.com,9998430407,4,1
GUJARAT,Dahod,SUNBOOST PRIVATE LTD,PIYUSH KUMAR NATVARLAL PATEL,info@sunboostenergy.com,9104227788,3,1
GUJARAT,Dahod,SUN ENERGY,Sunil Jain,sunenergybharat@gmail.com,9427352326,5,1
GUJARAT,Dahod,STAR ENERGY SYSTEMS,SACHIN R SHAH,starenergyindia@gmail.com,9825014314,3,1
GUJARAT,Dahod,SOLAR TECH WORLD,MANISH SITLANI,support@solartechworld.com,8460728007,3,1
GUJARAT,Dahod,SOLAR GREEN DEVELOPERS,NUMBER(S),solargreendevelopers@gmail.com,9924507751,4,1
GUJARAT,Dahod,SOLAR EXPERT,POOJAN BHATT,solarexpert35@gmail.com,9426167233,3,1
GUJARAT,Dahod,SOHAM SOLAR SOLUTION,MRUNAL DOSHI,sohamsolarsolution@yahoo.com,9601751327,3,1
GUJARAT,Dahod,SHREEJI ENTERPRISES - WADI,Sandip Gandhi,Sandipgandhi113@gmail.com,9825077605,5,1
GUJARAT,Dahod,SHIVHARDHA SHD PROJECTS,NUMBER(S),shivhardha@gmail.com,9898692603,2,1
GUJARAT,Dahod,RADHE ELECTRICAL,NUMBER(S),radheelectrical24@gmail.com,9601294783,5,1
GUJARAT,Dahod,PV RAYS ENERGY,PRADIP RAKHASIYA,pvraysenergy@gmail.com,9898097222,4,1
GUJARAT,Dahod,PATEL ELECTRONICS,HARDIK PATEL,hardikpatelelec@gmail.com,9377767508,4,1
GUJARAT,Dahod,OORJA ELECTRIC,Lilaben Patel,oorjaforeveryone@gmail.com,9067598727,3,1
GUJARAT,Dahod,LOBEL SOLAR POWER SYSTEM,FENIL BHAVSAR,info@lobelpower.com,9327007854,3,1
GUJARAT,Dahod,LAKSH POWER TECH,LAKSHDEEP P RAOL,lakshpowertech777@gmail.com,9825692073,4,1
GUJARAT,Dahod,KK SOLAR TECHNOLOGY,KUSHAL KACHHIYA,kksolartechnology@gmail.com,9586118331,3,1
GUJARAT,Dahod,JANGID SOLAR ENERGY PVT LTD,JAYKUMAR JANGID,info@jsepl.in,6358931609,3,1
GUJARAT,Dahod,HEAVEN GREEN ENERGY LTD. (FORMERLY KNOWN AS HEAVEN SOLAR ENERGY PVT LTD),NUMBER(S),heavensolarenergy@gmail.com,9979532167,3,1
GUJARAT,Dahod,GURUKRUPA SOLAR AND AGRO INDUSTRIES,VISHAL PRAJAPATI,vishal@vishal-group.com,9328854525,5,1
GUJARAT,Dahod,GREENTECH POWER ENERGY,RAVI GOTI,greentechpowerenergy2020@gmail.com,9924070070,5,1
GUJARAT,Dahod,DHVANI ENERGY,Rohit Niravkumar,dhvanisolar@gmail.com,9537928064,3,1
GUJARAT,Dahod,DGR ENERGY PRIVATE LIMITED,Jigar Shukla,dgrenergygroup@gmail.com,8128603082,3,1
GUJARAT,Dahod,COSMIC POWER TECH,CHARCHIL SHAH,cosmicpowertech@gmail.com,9313720672,3,1
GUJARAT,Dahod,CONNECT POWER PRIVATE LIMITED,Hannan Malik,hannan@connect-power.in,9898195122,3,1
GUJARAT,Dahod,BAPA SITARAM RENEWABLE ENERGY,KISHAN KUMAR ANILBHAI PANDYA,BSREVADODARA@GMAIL.COM,9925557878,5,1
GUJARAT,Dahod,ASTHA SOLAR ENERGY,PATEL VASTABHAI KODARBHAI,asthasolarenergy99@gmail.com,9586185066,3,1
GUJARAT,Dahod,AMPERE GREEN ENERGY,MIT KAVATHIYA,amperegreenenergy@gmail.com,9033116472,5,1
GUJARAT,Dahod,ACHYUT ENERGY,KRIYANKA PATEL,achyutenergy@gmail.com,9275382879,5,1
GUJARAT,Dahod,ABHISHEK ENTERPRISES,ABHISHEK AVARANI,abhishek.avarani@gmail.com,9727713162,10,1
GUJARAT,Dahod,AARISH POWER,HARSH PATEL,harshpatel5268@gmail.com,7600621060,3,1
GUJARAT,Dahod,ZY ENTERPRISE,Mohammad Atir Bula,zyenterprise12@gmail.com,8460313094,0,0
GUJARAT,Dahod,ZUNROOF TECH PVT LTD,Ashank Garg,gosolar@zunroof.com,9205893368,0,0
GUJARAT,Dahod,ZODIAC ENERGY LIMITED,KARTIK PATEL,info@zodiacenergy.com,7861852582,0,0
GUJARAT,Dahod,ZMR ENERGY INCORPORATION,PARESH RAMANI,zmrenergyincorporation@gmail.com,9924818113,0,0
GUJARAT,Dahod,ZENITH SUNSPARK,PATEL DIPKUMAR RAMESHBHAI,zenithsunspark@gmail.com,8140946909,0,0
GUJARAT,Dahod,ZEEPO ELECTRICAL SERVICES PRIVATE LIMITED,VIRAL PURANDAS DUDHREJIYA,zeepoelectricalservices@gmail.com,9664823942,0,0
GUJARAT,Dahod,ZALA HAKUBHA NARSISINH,ZALA HAKUBHA N,solar.hakubha1508@gmail.com,9925103777,0,0
