state,district,company_name,contact_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Narmada,AADITYA SOLAR,GAUTAMBHAI R PATEL,adityasolarnarmada@gmail.com,9265740687,616,161
GUJARAT,Narmada,RIGHTWAY ELECTRICALS,MEHUL LAKHATARIYA,rightwayelectricals@gmail.com,9537519905,397,97
GUJARAT,Narmada,ANANY URJA,PRAYAG KHATRANI,ananyurja@outlook.com,8866442477,342,89
GUJARAT,Narmada,RADHE SOLAR ENERGY,RADHESH PATEL,radhesolarenergy17@gmail.com,9879709538,309,77
GUJARAT,Narmada,ANK SOLAR ENERGY,HIT A KHANDOR,anksolarenergy@gmail.com,9724816510,236,67
GUJARAT,Narmada,MJR INDUSTRIES PRIVATE LIMITED,MJR INDUSTRIES PRIVATE LIMITED,mjrindustriespvtltd@gmail.com,9426998993,180,42
GUJARAT,Narmada,KP GREEN ENGINEERING LIMITED,MOINULHAQUE KADVA,imam.syed@kpgroup.co,9104677596,37,40
GUJARAT,Narmada,SARDAR SOLAR ENERGY PRIVATE LIMITED,YASINMAHMAD GHORI,sardarsolarenergypvtltd015@gmail.com,9664915598,122,30
GUJARAT,Narmada,GREEN HOUSE SOLAR POWER SOLUTIONS,Maheshbhai Kunjadiya,info@greenhousesolar.in,7990068891,112,30
GUJARAT,Narmada,SOLAR TECH WORLD,MANISH SITLANI,support@solartechworld.com,8460728007,80,24
GUJARAT,Narmada,LED LIGHT HOUSE,PATEL VAISHALIBEN PRASHANTBHAI,ledlighthouse161921@gmail.com,9624132754,75,21
GUJARAT,Narmada,SHREEJI ENTERPRISE - MANJALPUR,NUMBER(S),shreejienergy844@gmail.com,7041803421,54,13
GUJARAT,Narmada,LIGHTRIC POWER SOLUTION,BHAUMIK PATEL,lightricpower@gmail.com,6355768984,63,13
GUJARAT,Narmada,SURYASE ENERGY,MADHAV PATEL,suryaseenergy@gmail.com,9662047390,40,12
GUJARAT,Narmada,SHREEJI ELECTRICALS,BHAKARBHAI BHATT,shreejiele@gmail.com,9825089343,46,11
GUJARAT,Narmada,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,EXECUTIVE,systems@australianpremiumsolar.co.in,7966006600,42,11
GUJARAT,Narmada,SANELITE SOLAR PVT LTD,SANELITE SOLAR PVT LTD,bhavesh.modi@sanelitesolar.com,9374021722,35,9
GUJARAT,Narmada,RADHE ELECTRICAL,Sanjay Patel,radheelectrical24@gmail.com,9601294783,33,9
GUJARAT,Narmada,PRINCE ELECTRICAL,HARSH PATEL,princeelectrical20@gmail.com,8866507173,30,9
GUJARAT,Narmada,ACCLIMATE SYSTEMS PRIVATE LIMITED,HARSHUL SHAH,acclimatesystem@gmail.com,7878538141,31,9
GUJARAT,Narmada,SUNBUY RENEWABLES PVT LTD,SHIVAMSHAH,darshan@sunbuy.in,9328281611,28,8
GUJARAT,Narmada,SAAN ELECTRICAL,SALMAN B LULAT,saanelectrical@gmail.com,9033735490,34,8
GUJARAT,Narmada,OCTA ENTERPRISE,KISHAN MALAVIYA DESIGNATION,octaenterprise7@gmail.com,8469023543,23,7
GUJARAT,Narmada,JIGS ELECTRICAL,BIRJU PATEL,jigselectrical@gmail.com,9979129392,31,7
GUJARAT,Narmada,GAJGATI STEEL AND ENERGY PVT LTD.,SAMEER SURATWALA,sales@gajgati.com,7990480061,20,6
GUJARAT,Narmada,VITRAG TECHNO PRIVATE LIMITED,VIVEK MANJIBHAI DANKHARA,ad.vitragsolar@gmail.com,7778882668,16,5
GUJARAT,Narmada,NAVKAR POWER SOLUTIONS,MERUP SHAH,contact@navkarpower.co.in,9879613334,16,5
GUJARAT,Narmada,EUROLITE SOLAR,HARSHIL PATEL,harshil.patel@euroliteindia.com,7490007847,24,5
GUJARAT,Narmada,DELICATE SOLAR PRIVATE LIMITED,JEMISH J GABANI,gabanijemish3@gmail.com,8238340836,16,5
GUJARAT,Narmada,YELLOW RAY SOLAR,VANSAL I RAY,yellowraysolar@gmail.com,9427443581,14,4
GUJARAT,Narmada,SHIVSHAKTI ENTERPRISE,GUNVANT PATEL,shivshaktisolarservices@gmail.com,9898801717,13,4
GUJARAT,Narmada,SHIVHARDHA SHD PROJECTS,DHARABEN H PATEL,shivhardha@gmail.com,9898692603,13,4
GUJARAT,Narmada,POWER TECH ENERGY SOLUTUIONS,DWIP PARIKH,epc@ptes.in,6357502081,18,4
GUJARAT,Narmada,NATIONAL ELECTRICALS AND ELECTRONICS CORPORATION,ASHOK M PATEL,ashokpatel@neec.in,9429136631,14,4
GUJARAT,Narmada,KSQUARE ENERGY PVT LTD,Mr. Vishal Punia,projects@ksquareenergy.com,9725218150,13,4
GUJARAT,Narmada,KOTSON PROJECTS PRIVATE LIMITED,KRUNAL PANCHAL,kotsonprojects@gmail.com,9978909595,12,4
GUJARAT,Narmada,KAIZEN ENERGY,KIRTI VASANIYA,info.kaizenenergy@gmail.com,8347424158,15,4
GUJARAT,Narmada,GREENEABLE SOLAR SOLUTION,JIGNESH BHUVA,greeneablesolar@gmail.com,6357555660,15,4
GUJARAT,Narmada,GOVARDHAN TRADERS,SATISHKUMAR BAROT,govardhantraders2512@gmail.com,7600029983,15,4
GUJARAT,Narmada,ZAVICH INFRASTRUCTURE AND POWER PVT LTD,ROHAN PATEL,zavichinfra@gmail.com,9106129608,15,3
GUJARAT,Narmada,YELLOWCREST ENERGY LLP,MIRAJ UPENDRABHAI PANCHOLI,yellowcrestenergy@gmail.com,9904675445,10,3
GUJARAT,Narmada,THE SOLAR HOUSE,TIRTHESH GANDHI,thesolarhouse9@gmail.com,8485950999,13,3
GUJARAT,Narmada,SHREEJI ELECTRICAL - VADSAR,DHARMESH PADHIYAR,shreejielectrical13@gmail.com,9624542806,8,3
GUJARAT,Narmada,SHINE ENERGY SOLUTION,KALPITKUMAR PATEL,info@shineenergysolution.in,9687959342,10,3
GUJARAT,Narmada,NYALKARAN RENEWABLE ENERGY,VAIBHAV PATEL,nyalkaranrenewableenergy@gmail.com,9998473073,9,3
GUJARAT,Narmada,NAKSH POWER,Parmar Bhumikaben Dharmeshbhai,bhumikarana1989@gmail.com,8141113593,12,3
GUJARAT,Narmada,MOVA GREEN ENERGY,MOHIT PATEL,movagreenenergy1112@gmail.com,7778033298,10,3
