state,district,company_name,contact_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Ahmedabad,SOLARIUM GREEN ENERGY LIMITED,Solarium,np@solariumenergy.in,9687133338,7740,1942
GUJARAT,Ahmedabad,SOLAR ACE,Solar Ace,project.solarace@gmail.com,9909037803,6159,1556
GUJARAT,Ahmedabad,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,EXECUTIVE,systems@australianpremiumsolar.co.in,7966006600,4457,1185
GUJARAT,Ahmedabad,KSQUARE ENERGY PVT LTD,Mr. Vishal Punia,projects@ksquareenergy.com,9725218150,3771,959
GUJARAT,Ahmedabad,SURYA SOLAR AND WATERS,SURYA POWER,rooftop@suryasolarwaters.com,9033266039,3964,953
GUJARAT,Ahmedabad,SANELITE SOLAR PVT LTD,SANELITE SOLAR PVT LTD,bhavesh.modi@sanelitesolar.com,9374021722,3175,841
GUJARAT,Ahmedabad,YUVAAN ENERGY PRIVATE LIMITED,JAY BHATT,sales@yuvaanenergy.com,9825045890,3342,779
GUJARAT,Ahmedabad,AMPERE GREEN ENERGY,MIT KAVATHIYA,amperegreenenergy@gmail.com,9033116472,2849,773
GUJARAT,Ahmedabad,SOLIS ENERGY SYSTEM,BHARGAV A PANENIYA,bhargavpaneliya@solisenergysystem.com,9601270077,2553,771
GUJARAT,Ahmedabad,HITECH SOLAR,JAYESH BALDHA,jayesh@hitechsolar.in,7600059073,2846,760
GUJARAT,Ahmedabad,JANSA SOLAR SOLUTIONS PVT LTD,NIMIT GUPTA,jansa@kalptaru.co.in,9998000769,2876,730
GUJARAT,Ahmedabad,GRACE RENEWABLE ENERGY PVT LTD,MANISH BAGDIA,project1@gracerenew.com,7573027788,3079,723
GUJARAT,Ahmedabad,AILIS ENERGY PRIVATE LIMITED,MEHUL PRAJAPATI,suryagujarat@ailisenergy.com,8401541048,2873,697
GUJARAT,Ahmedabad,VIDE ENERGY,VIRANG PATEL,ankita.videenergy@gmail.com,9712668268,2737,655
GUJARAT,Ahmedabad,SOLARSQUARE ENERGY PRIVATE LIMITED,SolarSquare,nationalportal@solarsquare.in,9830003000,2670,632
GUJARAT,Ahmedabad,SPARCO MULTIPLAST PVT LTD,JEET SHAH,info@sparcoenergy.com,9409269062,2101,630
GUJARAT,Ahmedabad,ZODIAC ENERGY LIMITED,KARTIK PATEL,info@zodiacenergy.com,7861852582,2706,626
GUJARAT,Ahmedabad,RK SUN POWER LLP,MR PARTH MADAAN,rksunpowertrading@gmail.com,9913785000,2513,617
GUJARAT,Ahmedabad,AHMEDABAD SOLAR,RAVI CHAUDHARY,ravichaudhary1403@gmail.com,9512365653,2683,612
GUJARAT,Ahmedabad,EVERGREEN RENEWABLE TECHNOLOGIES,ASHISHKUMAR VASANTBHAI PANCHAL,ashishpanchal888@gmail.com,7359743295,2059,603
GUJARAT,Ahmedabad,ICON ENERGY,HARSH PATEL,info@iconenergy.in,9909999162,2057,602
GUJARAT,Ahmedabad,NEOCENT SOLAR SYSTEM LLP,MAYANK PATEL,m.neocent@gmail.com,9974710486,2045,572
GUJARAT,Ahmedabad,IMPERIUM POWERTECH,VANRAJ KOTHIWAL,imperiumtender@gmail.com,9054457166,1906,554
GUJARAT,Ahmedabad,SOLARATIVE ENERGY SOLUTION,ASHIK SHAH,pavan.solarative@gmail.com,9327151411,2018,545
GUJARAT,Ahmedabad,SOLAR SUNPOWER,NUMBER(S),solarsunpower2020@gmail.com,8238835771,1496,465
GUJARAT,Ahmedabad,ASV ENERGY SOLUTIONS,Vikas Singhal,vikas30.asv@gmail.com,7879064335,1695,462
GUJARAT,Ahmedabad,ECOWATT ENERGY,NUMBER(S),ecowattenergy18@gmail.com,9978638437,1599,459
GUJARAT,Ahmedabad,ADINSON ENERGY LLP,SAGAR PANELIYA,adinsonenergy2022@gmail.com,9724272728,1710,453
GUJARAT,Ahmedabad,SUNBOOST PRIVATE LTD,PIYUSH KUMAR NATVARLAL PATEL,info@sunboostenergy.com,9104227788,1782,443
GUJARAT,Ahmedabad,SOLAR CLEAN ENERGY,NIKUNJ AMRUTLAL PRAJAPATI,socleanenergy@gmail.com,6354418196,1863,433
GUJARAT,Ahmedabad,SURYAKAMAL INFRA PVT.LTD.,Suryakamalinfra,sales@suryakamalinfra.com,9727756866,1426,432
GUJARAT,Ahmedabad,SOLAR SMART PVT LTD,SOLAR SMART NP,solarsmart2021@gmail.com,7284000580,1630,431
GUJARAT,Ahmedabad,GREEN POWER SOLUTION,HARDIK P DARJI,darjihardik777@gmail.com,8141216635,1504,426
GUJARAT,Ahmedabad,PRIDE SOLAR ENERGY LLP,URVIL V SHELADIA,Pridesolarenergyllp@outlook.com,9664975264,1477,420
GUJARAT,Ahmedabad,P AND N ENGINEERING AND MARKETING,PANDN ENGINEERING,pandnsolarenergy@gmail.com,7622023251,1414,406
GUJARAT,Ahmedabad,SN GROUP OF COMPANY,TUSHAR BABUBHAI RIBADIYA,sngroupofcompany2022@gmail.com,9725324439,1348,403
GUJARAT,Ahmedabad,RADHE ELECTRICAL,Sanjay Patel,radheelectrical24@gmail.com,9601294783,1383,385
GUJARAT,Ahmedabad,AIRSUN SOLAR ENERGY LLP,JATIN PRAJAPATI,jatin@airsunsolarenergy.in,8799571627,1143,376
GUJARAT,Ahmedabad,ADVANCED ELETRICAL SOLUTIONS,DHRUV SHAH,info.aessolar@gmail.com,7574880300,1521,372
GUJARAT,Ahmedabad,EURO SOLAR SYSTEM,DARSHAN PATEL,eurosolarsystem@gmail.com,6351892467,1446,368
GUJARAT,Ahmedabad,GROWTH POWER,ANKIT DHANANI,solar@growthpower.co.in,9724959244,1249,357
GUJARAT,Ahmedabad,J S COMPANY,J S COMPANY,jscompany9@gmail.com,7990307424,1365,343
GUJARAT,Ahmedabad,GROW EARTH RENEWABLE TECHNOLOGIES,DIVYESH D RAJPUT,divyesh@growearthsolar.com,9104495364,1331,342
GUJARAT,Ahmedabad,HELIOSNATURAL RENEWTECH PRIVATE LIMITED,VISHAL KADIA,marketing@heliosnatural.com,7600052305,1273,334
GUJARAT,Ahmedabad,GURUKRUPA SOLAR AND AGRO INDUSTRIES,VISHAL PRAJAPATI,vishal@vishal-group.com,9328854525,1302,321
GUJARAT,Ahmedabad,CEYONE SOLAR,PARIMAL HIRPARA,ceyonesolar@gmail.com,7567091000,1176,311
GUJARAT,Ahmedabad,GEETANJALI INDUSTRIES,JIGAR PANCHAL,jaskoenergy@gmail.com,8866200620,1339,303
GUJARAT,Ahmedabad,D R ENTERPRISE,HARDIK RAMANBHAI PATEL,DRENTERPRISE3029@GMAIL.COM,7990689506,1197,297
GUJARAT,Ahmedabad,ANUPAM SMART ENERGY SOLAR,RAMANI KAUSHIK MANUBHAI,anupamsmartenergy@gmail.com,9601719818,1172,293
GUJARAT,Ahmedabad,PRISHA CORPORATION,BHAUMIK PATEL,prishacorporation183@gmail.com,9825505023,1168,291
GUJARAT,Ahmedabad,DIMAN SOLAR PVT LTD (FORMERLY KNOWN AS DIMAN OVERSEAS PVT LTD),VISHAL UNADKAT,info@dimansolar.com,9909928959,1159,291
GUJARAT,Ahmedabad,VISWAN ENERGY SOLUTIONS,SHREEDUTT DHANALIYA,viswanenergy@gmail.com,8866641649,1202,286
GUJARAT,Ahmedabad,SHREEMAD ENGINEERS,PATEL BHAVIN KUMAR,shreemadbg@gmail.com,9913721961,1094,282
GUJARAT,Ahmedabad,PDF ENGINEERS PRIVATE LIMITED,JAY VAGHELA,project2.pepl@gmail.com,8803910391,1135,266
GUJARAT,Ahmedabad,TROM INDUSTRIES LIMITED,KETUL PANCHASARA,marketing@tromsolar.in,9081017444,1046,265
GUJARAT,Ahmedabad,SUNSAI SOLAR SYSTEMS,KALPESH BAROT,solar@sunsai.co.in,9925808788,787,265
GUJARAT,Ahmedabad,SKY WINGS SOLAR ENERGY,NISHIT PATEL,skywingssolar@gmail.com,9974839830,1081,256
GUJARAT,Ahmedabad,MANYAH ENERGY PVTLTD,VIDHYUT PATEL,manyahenergy@gmail.com,9925065224,928,254
GUJARAT,Ahmedabad,GARUDA POWER,DHAVALSINH KHATANA,garudapower26@gmail.com,9016555765,1031,252
GUJARAT,Ahmedabad,MARUTI ENTERPRISE,BHAUTIK PRINCE,maruti.enterprise0915@hotmail.com,8866239646,931,251
GUJARAT,Ahmedabad,N J ENERGY,Nehalkumar Panchal,nj.energy9@gmail.com,7487022943,791,247
GUJARAT,Ahmedabad,TECHNO ENERGY SOLUTIONS,NIRAV PATEL,tes010421@gmail.com,9725022866,981,245
GUJARAT,Ahmedabad,PAHAL SOLAR EPC LLP,AVINASH SHINGALA,avinash@pahalsolar.com,9512323223,939,244
GUJARAT,Ahmedabad,INFINITY RENEWABLE ENERGY,PATEL ANANDKUMAR VIJAYBHAI,anand.infinityrenewableenergy@gmail.com,9913784000,1026,244
GUJARAT,Ahmedabad,HYSUN SOLAR PRIVATE LIMITED,OMRAM PRAJAPATI,prajapatiomaram62@gmail.com,7573999961,659,244
GUJARAT,Ahmedabad,ISHITA ENGINEERING,PATEL NIKUNJKUMAR RAJENDRABHAI,ishitaengineering13@gmail.com,8866649177,906,241
GUJARAT,Ahmedabad,EURO PREMIUM SOLAR SYSTEM (INDIA) PRIVATE LIMITED,EURO PREMIUM SOLAR,info@europremiumsolar.com,7622023253,789,231
GUJARAT,Ahmedabad,SAMPTEL ENERGY PRIVATE LIMITED,Sharadkumar Dhameliya,project@samptelenergy.com,9727755187,822,227
GUJARAT,Ahmedabad,SHIVAY SOLAR ENERGY PRIVATE LIMITED,SANJAY PRAJAPATI,sanjay1482@gmail.com,7490013700,924,221
GUJARAT,Ahmedabad,PV RAYS ENERGY,PRADIP RAKHASIYA,pvraysenergy@gmail.com,9898097222,613,216
GUJARAT,Ahmedabad,AARUSH ENTERPRISE,PARTH THUMMAR,info@aarushsolar.com,9724302078,839,216
GUJARAT,Ahmedabad,QORX ENERGY,BHAVESH GOSWAMI,qorxenergy1366@gmail.com,9904000629,868,212
GUJARAT,Ahmedabad,H.K ENERGY,HARDIK KACHHIA,hkenergy001@gmail.com,9586401312,887,210
GUJARAT,Ahmedabad,APEX RENEWABLE ENERGY,HEMAL PATEL,apexenergy95@gmail.com,9737972543,830,209
GUJARAT,Ahmedabad,SOLEOS GREEN ENERGY PRIVATE LIMITED,Parth Rangholia,pruthvi@soleos.in,9512448900,820,207
GUJARAT,Ahmedabad,VIRTA ENTERPRISE,HARISHCHANDRA KUMAR K RATHAVI,INFO.VIRTAENTERPRISE@GMAIL.COM,7698432673,840,204
GUJARAT,Ahmedabad,PRACHI GREEN GREEN ENERGY PVT LTD,NUMBER(S),prachigreenenergy@gmail.com,9737830854,936,204
GUJARAT,Ahmedabad,SOLAR TECH WORLD,MANISH SITLANI,support@solartechworld.com,8460728007,743,201
GUJARAT,Ahmedabad,PERFECT RENEWTECH PRIVATE LIMITED,info@perfectrenewtech.com,info@perfectrenewtech.com,9965200700,844,201
GUJARAT,Ahmedabad,EXCEL ELECTRICAL INFRA,DWARKESH CHHABHAYA,info@excelelectricalinfra.com,8866900379,746,199
GUJARAT,Ahmedabad,SOHAM SOLAR SOLUTION,MRUNAL DOSHI,sohamsolarsolution@yahoo.com,9601751327,842,198
GUJARAT,Ahmedabad,HEER SOLAR ENERGY,CHINTAN PATEL,heersolarenergy@gmail.com,9427063399,677,198
GUJARAT,Ahmedabad,RADHASWAMI CORPOPRATION,MINESH PATEL,radhaswamicorporation1@gmail.com,9687607072,732,192
GUJARAT,Ahmedabad,PHOENIX CREATIONS LIMITED,VISHAL PATEL,phoenixcreations2011@gmail.com,9978578599,764,185
GUJARAT,Ahmedabad,STAR ENERGY SYSTEMS,SACHIN R SHAH,starenergyindia@gmail.com,9825014314,752,183
GUJARAT,Ahmedabad,MEKTECH SOLUTION,CHAHIL SAPKAL,mektechsolution@gmail.com,7984595405,694,183
GUJARAT,Ahmedabad,SAUR SOLAR SOLUTION LLP,PIYUSH PATEL,piyushpatel1974@gmail.com,9909417258,657,180
GUJARAT,Ahmedabad,B-SOLAR CONSULTANT AND ENGINEER PVT LTD,ANIL GUPTA,md@bsolar.in,8000888019,691,180
GUJARAT,Ahmedabad,OCEAN POWER TECHNOLOGIES,HENIL DALSANIYA,ocean.powertech19@gmail.com,9924065610,792,179
GUJARAT,Ahmedabad,RADIANT GREEN SOLUTIONS,MANTHAN DAVDA,davda.manthan@yahoo.in,9978911803,732,177
GUJARAT,Ahmedabad,EMDERS ENTERPRISE,AJAY D PANCHAL,info.emders@gmail.com,7016614013,815,174
GUJARAT,Ahmedabad,INSTANT TECHNOLOGY,JAYDIPSINH GOHIL,info@instantgroup.live,8200782232,583,170
GUJARAT,Ahmedabad,GREEN SOLAR ENERGY ENTERPRISES,VIPULKUMAR PATEL,greensolar.ahmedabad@gmail.com,9712909823,669,169
GUJARAT,Ahmedabad,SOHAM TECHNO SOLUTIONS,SOHAM PATEL,stssolar.document@gmail.com,9274349757,637,167
