state,district,company_name,contact_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Bhavnagar,HARSH COMMUNICATION,CHINTAN PATHAK,harshcomm.solar@gmail.com,9137373727,5326,1552
GUJARAT,Bhavnagar,JANTA RENEWABLE ENRGY,PRASHANT CHUDASAMA,jantarenewableenergy@gmail.com,9898897373,5064,1490
GUJARAT,Bhavnagar,GLOBAL ENTERPRISE,NUMBER(S),globalsolarent@gmail.com,9924900304,4590,1303
GUJARAT,Bhavnagar,SUNCELL SOLAR LLP,Harsh,suncellsolarenergy@gmail.com,9512668884,2875,811
GUJARAT,Bhavnagar,JAFFINS ENTERPRISE,JAFAR KAPASI,solarbhavnagar@gmail.com,9375465252,2546,741
GUJARAT,Bhavnagar,RUDRA SOLAR AND ELECTRICAL,SHAKTISINH GOHIL,rudrasolar2019@gmail.com,9510514672,2567,739
GUJARAT,Bhavnagar,YOG ENTERPRISE,SHETA HETALBEN SATISHBHAI,yogenterprise.vallabhipur@gmail.com,7600790079,1872,538
GUJARAT,Bhavnagar,MADHAV TECHNICALS,VISHAL MORDIYA,madhavtechnicals@gmail.com,9737384121,1912,528
GUJARAT,Bhavnagar,SKY BLUE SOLAR,PRUTHVI GALANI,skybluesolar56@gmail.com,9824965349,1672,492
GUJARAT,Bhavnagar,YUVAAN ENERGY PRIVATE LIMITED,JAY BHATT,sales@yuvaanenergy.com,9825045890,1481,425
GUJARAT,Bhavnagar,CHEMITEX EXPORTS PVT LTD,MANISH PARIKH,shrijichem@hotmail.com,9099940535,1420,407
GUJARAT,Bhavnagar,GOLDI SOLAR PRIVATE LIMITED,GOLDI SOLAR PRIVATE LIMITED,info@goldisolar.com,7211134134,499,388
GUJARAT,Bhavnagar,MADHULI CORPORATION,Parth Mukeshbhai Bambhaniya,madhulicorporation@gmail.com,9904990630,1346,385
GUJARAT,Bhavnagar,J P ENTERPRISE,JIGAR DAVE,jpenterprise2007@gmail.com,9824220210,1240,373
GUJARAT,Bhavnagar,MARUTI SOLAR SYSTEMS,DINESH NAVAR,dinesh.navar@gmail.com,9409080149,1299,367
GUJARAT,Bhavnagar,GREENERA ENERTECH PVT LTD,SAGAR BHAYANI,greenera.solarenergy@gmail.com,9427726620,1227,359
GUJARAT,Bhavnagar,MK ELECTRICAL AND CO,TRIKAM BHATT,mkelectrical.co@gmail.com,8866525483,1172,326
GUJARAT,Bhavnagar,NEW RESEARCH TECHNOLOGY,DIPAK JETHAVA,nrtsolar@gmail.com,9427809253,1081,316
GUJARAT,Bhavnagar,ECLIPTIC SOLAR,VISHAL DAVE,davevishalkumar@gmail.com,9825023276,1146,312
GUJARAT,Bhavnagar,M S ENERGY,Jatinbhai M Baldaniya,msenergy2021@gmail.com,7265939104,1034,303
GUJARAT,Bhavnagar,JAI SOMNATH ENTERPRISE,KISHAN GUNVANTRAI TRIVEDI,msjaisomnathenterprise@gmail.com,9979990909,975,286
GUJARAT,Bhavnagar,MARUTI SOLAR,HEMANG BORICHA,marutisolar.bvn@gmail.com,9429292818,1021,283
GUJARAT,Bhavnagar,SMART ENERGY SOLUTIONS,PARAS HARIBHAI ITALIYA,smartenergysolutions99@gmail.com,8511495982,931,279
GUJARAT,Bhavnagar,J J PATEL,RAVI PATEL,solar@sunphotovoltaic.com,8347225555,995,278
GUJARAT,Bhavnagar,MADHVAN POLYPLAST PVT. LTD.,NUMBER(S),cmp.madhavanpolyplast@gmail.com,9104306162,999,276
GUJARAT,Bhavnagar,H V ENERGIES,HARSHAL VINODBHAI CHABHADIYA,hvsolarenergies@gmail.com,7069797784,954,265
GUJARAT,Bhavnagar,SIGMA ENGINEERING,YOGESH VYAS,sigma_engg@yahoo.co.in,9825205934,847,247
GUJARAT,Bhavnagar,D-LIGHT SOLAR ENERGY LLP,PRATIK DHAMELIYA,epc@dlightsolarenergy.in,9898511535,850,246
GUJARAT,Bhavnagar,F SOLAR ROOFTOP,GANJA FAIZAL ABDULBHAI,fsolarrooftop@gmail.com,8469525856,879,238
GUJARAT,Bhavnagar,PATEL SOLAR,GONDALIYA SUBHASCHANDRA VALLABHBHAI,patelsolarmahuva@gmail.com,9825353092,829,235
GUJARAT,Bhavnagar,BAPA SITARAM SOLAR POWER PVT LTD,RAMESH GOSWAMI,bapasitaramsolarpower@gmail.com,8511362222,807,234
GUJARAT,Bhavnagar,SHIVAM PHOTOVOLTICS PVT LTD,HARSHAD RAIYA,tenders@spvpl.com,9426023829,777,214
GUJARAT,Bhavnagar,SATYAM SALES,NUMBER(S),kishanagroagencyamreli@gmail.com,9825360183,726,214
GUJARAT,Bhavnagar,POWERSHINE ENERGY,VISHBU BHALODI,powershineenergy1993@gmail.com,9723096888,706,211
