state,district,company_name,contact_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Botad,SHREE MARUTI SOLAR ENERGY,ASHISH FATEPARA,shreemarutisolarenergy@gmail.com,8320045640,1766,525
GUJARAT,Botad,GREEN EARTH SOLAR,RAJESH MONPARA,info.ges2015@gmail.com,9723076250,1726,505
GUJARAT,Botad,AMAR JYOT SPRAY PUMP,RITESH PATEL,ajagriandsolar@gmail.com,9722227299,1694,493
GUJARAT,Botad,VIRAJBHAI VISUBHAI KHACHAR,VIRAJBHAI KHACHAR,gchauhan17388@gmail.com,9898986662,1074,306
GUJARAT,Botad,HARIOM ENGINEERING,NIKHI PUNANI,hariomsolarbotad@gmail.com,8140771766,725,206
GUJARAT,Botad,MADHAV SOLAR ENERGY LIMITED (FORMERLY KNOWN AS MADHAV ENTERPRISE - SURAT),KRUTIKA AMIPARA,info@madhavsolarenergy.com,8849299212,701,203
GUJARAT,Botad,INFRAX INTERNATIONAL,BHARGV VACHHANI,info@infraxsolar.com,7778002780,588,172
GUJARAT,Botad,HARIOM ELECTRICS,MANOJKUMAR JAGDISHBHAI PATIWALA,manoj.patiwala.in@gmail.com,8140438508,613,169
GUJARAT,Botad,ADVANCE SOLAR,HIRALBEN PARASBHAI VADACHHAK,advancesolar139@gmail.com,7698756075,481,136
GUJARAT,Botad,SHREEJI GRIN SOLAR,ZAPADIYA NIKUNJ K.,shrijigreensolar@gmail.com,7203005770,468,134
GUJARAT,Botad,ITALIYA SOLAR,JATIN ITALIYA,italiyasolar@gmail.com,9909284408,411,122
GUJARAT,Botad,KSQUARE ENERGY PVT LTD,Mr. Vishal Punia,projects@ksquareenergy.com,9725218150,411,118
GUJARAT,Botad,GLOBAL SOLAR ENERGY,SAGAR VAKOTAR,globalsolar99@gmail.com,8866190358,396,115
GUJARAT,Botad,LIPO TECHNOLOGY PRIVATE LIMITED,KALPESH PARMAR,kalpesh@lipotechnology.in,9722266550,399,113
GUJARAT,Botad,YOG ENTERPRISE,NUMBER(S),yogenterprise.vallabhipur@gmail.com,7600790079,395,110
GUJARAT,Botad,PRACHI GREEN GREEN ENERGY PVT LTD,SURYADIP PATIVALA,prachigreenenergy@gmail.com,9737830854,368,106
GUJARAT,Botad,MITRA RENEWABLE ENERGY,KERALIYA BHAVIKBHAI SHANKARBHAI,mitra.renewable@gmail.com,9824792815,347,105
GUJARAT,Botad,JANTA RENEWABLE ENRGY,PRASHANT CHUDASAMA,jantarenewableenergy@gmail.com,9898897373,354,102
GUJARAT,Botad,INFINITY SOLAR - SURAT,MANTHAN ANAGHAN,infinity.solar01@gmail.com,8866860686,231,69
GUJARAT,Botad,SOL MAX SOLUTION,MOHITBHAI PRABHATBHAI BORICHA,mpboricha111@gmail.com,9429343757,238,67
GUJARAT,Botad,SHREE KHODIYAR REFRIGERATION SALES AND SERVICE,MANISH PATEL,shreekhodiyarref85@gmail.com,9825289293,226,67
GUJARAT,Botad,SYNCHRO ENERGY,ZULASANA MANJULABEN NILESHBHAI,synchroenergy389@gmail.com,9974737316,203,58
GUJARAT,Botad,CAPTAIN POLYPLAST LIMITED,CAPTAIN POLYPLAST LIMITED,solar@captainpolyplast.in,9313925889,185,55
GUJARAT,Botad,ARETE ELECTROPOWER PVT LTD,DEEP SHAH,projects@arelectropower.com,9099940283,180,54
GUJARAT,Botad,RAYSOLAR ENERGY SOLUTIONS PRIVATE LIMITED,RAYSOLARENERGYSOLUTIONS,raysolarenergysolutions@gmail.com,7874390654,181,53
GUJARAT,Botad,KESARI SOLAR,PARTH MORADIYA,kesarisolar2322@gmail.com,8780553703,171,51
GUJARAT,Botad,SUNCELL SOLAR LLP,Harsh,suncellsolarenergy@gmail.com,9512668884,168,49
GUJARAT,Botad,OMEGA POWER,OMEGA POWER,omegapower2018@gmail.com,7990226349,154,47
GUJARAT,Botad,MADHVAN POLYPLAST PVT. LTD.,NIKHIL MANJIBHAI SONANI,cmp.madhavanpolyplast@gmail.com,9104306162,130,42
GUJARAT,Botad,GREENERA ENERTECH PVT LTD,SAGAR BHAYANI,greenera.solarenergy@gmail.com,9427726620,139,42
GUJARAT,Botad,SOLISTA ENERGY,PARAG B VORA,solistaenergy8@gmail.com,9106194946,134,40
GUJARAT,Botad,SOLAR ACE,Solar Ace,project.solarace@gmail.com,9909037803,135,40
GUJARAT,Botad,ARKAY ICONIC PRIVATE LIMITED,MAULIK KACHHADIYA,arkaysolar@gmail.com,8401236600,132,40
GUJARAT,Botad,ETECH ENERGY,KALPESHBHAI,admin@etechenergy.com,9328509877,110,34
GUJARAT,Botad,KHODAL CORPORATION,HARDIK KALTHIYA,khodalcorporation10@gmail.com,9974129558,113,33
GUJARAT,Botad,GREEN ENERGY - RAJKOT,BHAVESH BHIMANI,greenenergy123@gmail.com,9428010202,110,31
GUJARAT,Botad,SAURASHTRA SOLAR SERVICES LLP,CHAUHAN MAHESH SUDHIRBHAI,SaurashtraSolar.Gujrat@gmail.com,9925448033,108,30
GUJARAT,Botad,PATEL GREEN ENERGY SALES AND SERVICE,KORADIYA ARVIND KESHAVJI,patelgreenenergyinfo@gmail.com,9427412983,100,28
GUJARAT,Botad,KARTAVY AGROTECH,TEJASBHAI VINUBHAI BAVISIYA,kartavysolar@gmail.com,9426465233,88,27
GUJARAT,Botad,SKY BLUE SOLAR,PRUTHVI GALANI,skybluesolar56@gmail.com,9824965349,94,26
GUJARAT,Botad,DINESHBHAI CHATURBHAI NANDANA,NANDANA DINESHBHAI CHATURBHAI,nandanadinesh62@gmail.com,6351782902,91,25
GUJARAT,Botad,VASANI SOLAR SOLUTION,RUTVIK J VASANI,vasani.solar.solution@gmail.com,9998404646,79,22
GUJARAT,Botad,AMPERE GREEN ENERGY,MIT KAVATHIYA,amperegreenenergy@gmail.com,9033116472,73,22
GUJARAT,Botad,INFRAX RENEWABLE LIMITED,Bhavik Gandhi,pmsg@infraxrenewable.com,9033260985,71,21
GUJARAT,Botad,SATYAM SALES,SATYAM BOGHARA,kishanagroagencyamreli@gmail.com,9825360183,67,20
