state,district,company_name,contact_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Jamnagar,GLOBAL SOLAR SOLUTION,MOKSHAK BODA,moxakboda111@gmail.com,8460820618,2989,889
GUJARAT,Jamnagar,SAMRUDDDHI ENTERPRISE,DHARA SAGAR LAMBA,samruddhienterprise22@gmail.com,9033676399,3021,827
GUJARAT,Jamnagar,INFRAX INTERNATIONAL,BHARGV VACHHANI,info@infraxsolar.com,7778002780,2529,753
GUJARAT,Jamnagar,SHREE SURYA SOLAR SOLUTION,HARDIK SANGHVI,shreesurya2016@gmail.com,8000720006,2617,695
GUJARAT,Jamnagar,JIYAAN SOLAR COMPANY,BIPINCHANDRA NIMAVAT,jiyaansolar.co@gmail.com,8160645436,2386,640
GUJARAT,Jamnagar,SURYANCE SOLAR,suryancesolar@gmail.com,suryancesolar@gmail.com,9664504655,1813,507
GUJARAT,Jamnagar,OXEN ENERGIES,BIPIN SAVALIYA,oxenenergies@gmail.com,8866699444,1564,449
GUJARAT,Jamnagar,BHANU ENTERPRISES,ANAND KOTHARI,akkothari1964@gmail.com,9263635946,1310,385
GUJARAT,Jamnagar,GREENERA ENERTECH PVT LTD,SAGAR BHAYANI,greenera.solarenergy@gmail.com,9427726620,1221,351
GUJARAT,Jamnagar,SHREEJI & SONS,MAHAVIRSINH JADEJA,shreejiandsolar2211@gmail.com,8140165509,1247,348
GUJARAT,Jamnagar,CAPTAIN POLYPLAST LIMITED,CAPTAIN POLYPLAST LIMITED,solar@captainpolyplast.in,9313925889,1094,326
GUJARAT,Jamnagar,POWERSHINE ENERGY,VISHBU BHALODI,powershineenergy1993@gmail.com,9723096888,1054,319
GUJARAT,Jamnagar,ARIHAA SOLAR PVT LTD,Ashish Parmar,ashish.arihaasolar@gmail.com,9825877888,1131,311
GUJARAT,Jamnagar,BRITI ENERGY,BHARAT BAVARVA,britienergy2021@gmail.com,8460227728,1108,301
GUJARAT,Jamnagar,RAJKOT E-BIKES AND SOLAR,VIPUL R FALDU,rajkotebikesandsolar@gmail.com,8306020890,1049,300
GUJARAT,Jamnagar,INTIFY SOLAR PVT LTD,KANABHAI MERAMBHAI BADIYAVADAR,intifysolar@gmail.com,6358788735,1022,292
GUJARAT,Jamnagar,BHANU PV SOLAR PVT LTD,VIMAL VINODBHAI RAIYANI,bhanupvsolarpvtltd@gmail.com,9510398989,976,281
GUJARAT,Jamnagar,GREEN SOLAR ENERGY,RAXIT HINSHU,greensolarenergygse@gmail.com,8866566056,930,275
GUJARAT,Jamnagar,BELIANCE ENERGY INDIA PVT.LTD.,BHARGAV KURJIBHAI PATOLIYA,belianceenergy@gmail.com,8511651364,822,254
GUJARAT,Jamnagar,LGM ENERGY AND INFRACON LLP,ASHISH MOVALIYA,lgmenergyandinfraconllp@gmail.com,7574000906,846,247
GUJARAT,Jamnagar,SANJEE ENTERPRISE,DHANKECHA AMITKUMAR JAYANTIBHAI,sanjee.enterprise@gmail.com,9157353735,858,240
GUJARAT,Jamnagar,THE SHIVSHAKTI ENTERPRISE,Hasmukh Makwana,Shivshakti2688@gmail.com,9913418634,792,234
GUJARAT,Jamnagar,MAHADEV SOLAR ENETERPRISE,CHOPADA RAJIBEN RAMESHBHAI,mahadevsolarjamnagar@gmail.com,9978999939,806,230
GUJARAT,Jamnagar,KRISHNA GREEN ENERGY,NUMBER(S),krishnagreenenergy18@gmail.com,9773285374,676,200
GUJARAT,Jamnagar,SHIV SOLARTECH,CHIRAG JOSHI,info.shivsolartech@gmail.com,9825245956,701,196
GUJARAT,Jamnagar,RIDDLE ENERGY PVT. LTD.,JAY NAGJIBHAI DOBARIYA,riddleenergy2101@gmail.com,9879556196,544,155
GUJARAT,Jamnagar,SOLARIUM GREEN ENERGY LIMITED,Solarium,np@solariumenergy.in,9687133338,543,154
GUJARAT,Jamnagar,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,EXECUTIVE,systems@australianpremiumsolar.co.in,7966006600,524,154
GUJARAT,Jamnagar,KIRTAN MARKETING,SHILUBHAI PATEL,kirtanmarketing@gmail.com,9714440026,562,153
GUJARAT,Jamnagar,NANDA ELECTRIC SERVICE,ABHISHEK NANDA,nandaelectricservice@gmail.com,9723647001,663,147
GUJARAT,Jamnagar,AMAR JYOT SPRAY PUMP,RITESH PATEL,ajagriandsolar@gmail.com,9722227299,572,140
GUJARAT,Jamnagar,INFRAX RENEWABLE LIMITED,Bhavik Gandhi,pmsg@infraxrenewable.com,9033260985,478,139
GUJARAT,Jamnagar,SCION POWER,NUMBER(S),scionpower@yahoo.com,7043511106,489,138
GUJARAT,Jamnagar,GURUKRUPA SOLAR SOLUTION,RAMDE KHIMABHAI GOJIA,gurukrupasolarsolution@gmail.com,8469952443,454,128
GUJARAT,Jamnagar,TVARIT ENERGY LLP,JAYKUMAR HARSUKHBHAI PATEL,meet@tvritenergy.in,8511600853,413,125
GUJARAT,Jamnagar,UNIVERSE ENTERPRISE,MULJI NAKUM,muljinakum1103@gmail.com,7878789968,407,114
GUJARAT,Jamnagar,JJ PV SOLAR PRIVATE LIMITED,RAJESH P JOSHI,rajesh@jjpvsolar.com,9904809006,394,113
GUJARAT,Jamnagar,GREEN ENERGY - RAJKOT,BHAVESH BHIMANI,greenenergy123@gmail.com,9428010202,368,113
GUJARAT,Jamnagar,FERUS ENERGIES CO,PARESHBHAI V BORAD,info@ferusenergies.com,9913341342,407,113
GUJARAT,Jamnagar,VISION INFOSYS,Pradeepsinh Gohil,info@vision-infosys.in,9825061749,386,107
GUJARAT,Jamnagar,INFINITY SOLAR - RAJKOT,chintan padaliya,infinitysolar2022@gmail.com,7201070799,368,106
